"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행.EPS","선행.PER","BPS","PBR","주당배당금","배당수익률"
"1","005930","삼성전자",61100,-1000,-1.61,"KOSPI","전기전자",364753713805000,5777,10.58,2700,22.63,43611,1.4,1444,2.36
"2","373220","LG에너지솔루션",508000,-12000,-2.31,"KOSPI","전기전자",1.18872e+14,3963,128.19,7160,70.95,39831,12.75,0,0
"3","000660","SK하이닉스",89100,-2100,-2.3,"KOSPI","전기전자",64865010721500,13989,6.37,NA,NA,90394,0.99,1540,1.73
"4","207940","삼성바이오로직스",788000,-12000,-1.5,"KOSPI","의약품",5.6085112e+13,5879,134.04,11497,68.54,74551,10.57,0,0
"5","006400","삼성SDI",684000,-8000,-1.16,"KOSPI","전기전자",47034938520000,17492,39.1,31096,22,219885,3.11,1000,0.15
"6","051910","LG화학",666000,-21000,-3.06,"KOSPI","화학",47014500438000,47108,14.14,31728,20.99,278455,2.39,12000,1.8
"7","005380","현대차",174200,-4000,-2.24,"KOSPI","운수장비",37220998175400,18979,9.18,30186,5.77,289609,0.6,5000,2.87
"8","035420","NAVER",211500,-4000,-1.86,"KOSPI","서비스업",34696381477500,110854,1.91,7237,29.23,157641,1.34,511,0.24
"9","000270","기아",74500,-2100,-2.74,"KOSPI","운수장비",30199569351500,11874,6.27,16231,4.59,87073,0.86,3000,4.03
"10","005490","POSCO홀딩스",332000,-14000,-4.05,"KOSPI","철강금속",28077648360000,87330,3.8,41819,7.94,666803,0.5,17000,5.12
"11","035720","카카오",62200,-900,-1.43,"KOSPI","서비스업",27710984795000,3221,19.31,1235,50.36,23018,2.7,53,0.09
"12","028260","삼성물산",113200,-1700,-1.48,"KOSPI","유통업",21155617569200,9913,11.42,10820,10.46,184352,0.61,4200,3.71
"13","068270","셀트리온",149000,-5800,-3.75,"KOSPI","의약품",20982104010000,3982,37.42,4955,30.07,27267,5.46,750,0.5
"14","105560","KB금융",49700,-900,-1.78,"KOSPI","기타금융",20322184279600,11134,4.46,11983,4.15,121808,0.41,2940,5.92
"15","012330","현대모비스",214000,-1000,-0.47,"KOSPI","운수장비",20177010116000,25645,8.34,33650,6.36,387397,0.55,4000,1.87
"16","055550","신한지주",38300,-750,-1.92,"KOSPI","기타금융",19486460482700,7308,5.24,9322,4.11,88548,0.43,1960,5.12
"17","066570","LG전자",111100,-2900,-2.54,"KOSPI","전기전자",18181272135400,5725,19.41,10527,10.55,95691,1.16,850,0.77
"18","003670","포스코케미칼",219000,-4000,-1.79,"KOSPI","비금속광물",16964445180000,1753,124.93,3970,55.16,30845,7.1,300,0.14
"19","247540","에코프로비엠",160500,-300,-0.19,"KOSDAQ","일반전기전자",15697115712000,1153,139.2,4521,35.5,5969,26.89,920,0.57
"20","096770","SK이노베이션",158800,-3200,-1.98,"KOSPI","화학",14683531563200,3640,43.63,15824,10.04,206117,0.77,2508,1.58
"21","034730","SK",184100,-3800,-2.02,"KOSPI","기타금융",13650891468900,37408,4.92,30896,5.96,375047,0.49,8000,4.35
"22","032830","삼성생명",67300,100,0.15,"KOSPI","보험",1.346e+13,8183,8.22,6794,9.91,210566,0.32,3000,4.46
"23","086790","하나금융지주",45000,-1350,-2.91,"KOSPI","기타금융",13315656420000,11819,3.81,13206,3.41,117363,0.38,3100,6.89
"24","003550","LG",81800,-1800,-2.15,"KOSPI","기타금융",12867221227400,15504,5.28,12343,6.63,132574,0.62,2800,3.42
"25","033780","KT&G",89100,-600,-0.67,"KOSPI","기타제조업",12232761482700,7898,11.28,7587,11.74,76336,1.17,4800,5.39
"26","323410","카카오뱅크",25500,-350,-1.35,"KOSPI","은행",12156631243500,467,54.6,805,31.69,11620,2.19,0,0
"27","010130","고려아연",609000,-1000,-0.16,"KOSPI","철강금속",12096663222000,45648,13.34,33425,18.22,430439,1.41,20000,3.28
"28","015760","한국전력",18180,-180,-0.98,"KOSPI","전기가스업",11670906919860,NA,NA,NA,NA,99334,0.18,0,0
"29","009150","삼성전기",146700,-3100,-2.07,"KOSPI","전기전자",10957565203200,11811,12.42,9147,16.04,88937,1.65,2100,1.43
