"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"1","060310","3S",2350,10,0.43,33,71.21,NA,NA,829,2.83,0,0
"2","095570","AJ네트웍스",5460,-70,-1.27,1707,3.2,NA,NA,8075,0.68,270,4.95
"3","006840","AK홀딩스",17630,-390,-2.16,NA,NA,NA,NA,45961,0.38,200,1.13
"4","054620","APS홀딩스",13600,-80,-0.58,1179,11.54,825,16.48,10088,1.35,100,0.74
"5","265520","AP시스템",20150,-100,-0.49,3932,5.12,NA,NA,12713,1.58,240,1.19
"6","211270","AP위성",18630,-120,-0.64,99,188.18,NA,NA,5714,3.26,70,0.38
"7","027410","BGF",4700,160,3.52,684,6.87,690,6.82,16393,0.29,110,2.34
"8","282330","BGF리테일",183400,1700,0.94,8547,21.46,13542,13.54,46849,3.91,3000,1.64
"9","126600","BGF에코머티리얼즈",5620,-140,-2.43,39,144.1,NA,NA,6534,0.86,100,1.78
"10","138930","BNK금융지주",6730,-120,-1.75,2341,2.87,2643,2.55,28745,0.23,560,8.32
"11","001460","BYC",451000,-18000,-3.84,35764,12.61,NA,NA,577324,0.78,1500,0.33
"12","001465","BYC우",158000,-500,-0.32,NA,NA,NA,NA,NA,NA,1550,0.98
"13","013720","CBI",380,12,3.26,NA,NA,NA,NA,137,2.77,0,0
"14","001040","CJ",81300,900,1.12,8197,9.92,11083,7.34,151085,0.54,2300,2.83
"15","079160","CJ CGV",17460,-390,-2.18,NA,NA,NA,NA,5520,3.16,0,0
"16","035760","CJ ENM",94100,-3600,-3.68,9332,10.08,4625,20.35,182220,0.52,2100,2.23
"17","311690","CJ 바이오사이언스",28750,-550,-1.88,NA,NA,NA,NA,14957,1.92,0,0
"18","00104K","CJ4우(전환)",72000,900,1.27,NA,NA,NA,NA,NA,NA,2350,3.26
"19","000120","CJ대한통운",83400,-1400,-1.65,1841,45.3,9437,8.84,178766,0.47,0,0
"20","011150","CJ씨푸드",3510,-30,-0.85,61,57.54,NA,NA,1857,1.89,0,0
"21","011155","CJ씨푸드1우",26500,-350,-1.3,NA,NA,NA,NA,NA,NA,0,0
"22","001045","CJ우",49850,-150,-0.3,NA,NA,NA,NA,NA,NA,2350,4.71
"23","097950","CJ제일제당",319000,-10500,-3.19,38246,8.34,41542,7.68,381542,0.84,5000,1.57
"24","097955","CJ제일제당 우",157800,-3200,-1.99,NA,NA,NA,NA,NA,NA,5050,3.2
"25","051500","CJ프레시웨이",30900,-1000,-3.13,2245,13.76,6020,5.13,20715,1.49,300,0.97
"26","058820","CMG제약",2290,-30,-1.29,23,99.57,NA,NA,1330,1.72,0,0
"27","023460","CNH",2205,0,0,46,47.93,NA,NA,3826,0.58,20,0.91
"28","056730","CNT85",3100,0,0,NA,NA,NA,NA,295,10.51,0,0
"29","065770","CS",1671,28,1.7,NA,NA,NA,NA,1099,1.52,0,0
"30","083660","CSA 코스믹",709,0,0,NA,NA,NA,NA,390,1.82,0,0
"31","000590","CS홀딩스",63400,-400,-0.63,12789,4.96,NA,NA,226165,0.28,500,0.79
"32","012030","DB",1398,53,3.94,114,12.26,NA,NA,2292,0.61,0,0
"33","404950","DB금융스팩10호",2100,15,0.72,NA,NA,NA,NA,NA,NA,0,0
"34","367340","DB금융스팩8호",2045,-5,-0.24,NA,NA,NA,NA,NA,NA,0,0
"35","367360","DB금융스팩9호",2140,10,0.47,NA,NA,NA,NA,NA,NA,0,0
"36","016610","DB금융투자",4235,-35,-0.82,2831,1.5,NA,NA,22133,0.19,500,11.81
