"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1","095570","AJ네트웍스","KOSPI","서비스업",5460,-70,-1.27,255649730700
"2","006840","AK홀딩스","KOSPI","기타금융",17630,-390,-2.16,233554500430
"3","027410","BGF","KOSPI","기타금융",4700,160,3.52,449868917700
"4","282330","BGF리테일","KOSPI","유통업",183400,1700,0.94,3169868360400
"5","138930","BNK금융지주","KOSPI","기타금융",6730,-120,-1.75,2193544205580
"6","001460","BYC","KOSPI","섬유의복",451000,-18000,-3.84,281701365000
"7","001465","BYC우","KOSPI","섬유의복",158000,-500,-0.32,34030830000
"8","001040","CJ","KOSPI","기타금융",81300,900,1.12,2372089937400
"9","079160","CJ CGV","KOSPI","서비스업",17460,-390,-2.18,833258752740
"10","00104K","CJ4우(전환)","KOSPI","기타금융",72000,900,1.27,304308864000
"11","000120","CJ대한통운","KOSPI","운수창고업",83400,-1400,-1.65,1902549489600
"12","011150","CJ씨푸드","KOSPI","음식료품",3510,-30,-0.85,126117013230
"13","011155","CJ씨푸드1우","KOSPI","음식료품",26500,-350,-1.3,5.3e+09
"14","001045","CJ우","KOSPI","기타금융",49850,-150,-0.3,112672116550
"15","097950","CJ제일제당","KOSPI","음식료품",319000,-10500,-3.19,4802285334000
"16","097955","CJ제일제당 우","KOSPI","음식료품",157800,-3200,-1.99,209468927400
"17","000590","CS홀딩스","KOSPI","기타금융",63400,-400,-0.63,73194158800
"18","012030","DB","KOSPI","서비스업",1398,53,3.94,281241158334
"19","016610","DB금융투자","KOSPI","증권",4235,-35,-0.82,179760457415
"20","005830","DB손해보험","KOSPI","보험",68400,1100,1.63,4.84272e+12
"21","000990","DB하이텍","KOSPI","전기전자",45300,-1800,-3.82,2011256036400
"22","000995","DB하이텍1우","KOSPI","전기전자",96200,-2300,-2.34,10804799200
"23","139130","DGB금융지주","KOSPI","기타금융",7800,-40,-0.51,1319337497400
"24","001530","DI동일","KOSPI","유통업",19620,-780,-3.82,501649457400
"25","000210","DL","KOSPI","기타금융",59300,-1000,-1.66,1242683921200
"26","001880","DL건설","KOSPI","건설업",15300,-500,-3.16,337415245200
"27","000215","DL우","KOSPI","기타금융",33850,-450,-1.31,57074992750
"28","375500","DL이앤씨","KOSPI","건설업",34600,-1150,-3.22,1338799355800
"29","37550L","DL이앤씨2우(전환)","KOSPI","건설업",25100,-700,-2.71,53009970100
"30","37550K","DL이앤씨우","KOSPI","건설업",22250,-500,-2.2,47033941250
"31","007340","DN오토모티브","KOSPI","전기전자",69700,-600,-0.85,696582148500
"32","004840","DRB동일","KOSPI","화학",4520,90,2.03,90083600000
